"gene","celltype","sample","mean_logexpr","pct_expr"
"Cav1","Excitatory neurons","Sample2",0.0077,0.0124
"Slc2a1","Excitatory neurons","Sample2",0.0281,0.0418
"Abcb1a","Excitatory neurons","Sample2",0.005,0.007
"Abcg2","Excitatory neurons","Sample2",0.0784,0.106
"Slco1a4","Excitatory neurons","Sample2",0.0084,0.0099
"Vcam1","Excitatory neurons","Sample2",0.0037,0.0058
"Icam1","Excitatory neurons","Sample2",3e-04,4e-04
"Vwf","Excitatory neurons","Sample2",0.0012,0.0021
"Angpt2","Excitatory neurons","Sample2",0.0259,0.0373
"Pdgfrb","Excitatory neurons","Sample2",0.008,0.0112
"Rgs5","Excitatory neurons","Sample2",0.0048,0.0062
"Kcnj8","Excitatory neurons","Sample2",0,0
"Anpep","Excitatory neurons","Sample2",6e-04,8e-04
"Vtn","Excitatory neurons","Sample2",0.005,0.007
"Notch3","Excitatory neurons","Sample2",0.0162,0.0228
"Aqp4","Excitatory neurons","Sample2",0.0072,0.0099
"Gja1","Excitatory neurons","Sample2",0.0135,0.0174
"Cldn5","Inhibitory neurons","Sample2",0,0
"Ocln","Inhibitory neurons","Sample2",0.0104,0.0142
"Tjp1","Inhibitory neurons","Sample2",1.4116,0.8836
"Jam2","Inhibitory neurons","Sample2",0.0448,0.0453
"Cgn","Inhibitory neurons","Sample2",0.0858,0.1061
"Esam","Inhibitory neurons","Sample2",0.0119,0.0155
"Mfsd2a","Inhibitory neurons","Sample2",0.0012,0.0013
"Plvap","Inhibitory neurons","Sample2",0.0439,0.0479
"Cav1","Inhibitory neurons","Sample2",0.0034,0.0039
"Slc2a1","Inhibitory neurons","Sample2",0.0313,0.0401
"Abcb1a","Inhibitory neurons","Sample2",0.0051,0.0052
"Abcg2","Inhibitory neurons","Sample2",0.0573,0.0673
"Slco1a4","Inhibitory neurons","Sample2",0.0025,0.0039
"Vcam1","Inhibitory neurons","Sample2",9e-04,0.0013
"Icam1","Inhibitory neurons","Sample2",0,0
"Vwf","Inhibitory neurons","Sample2",0.0013,0.0026
"Angpt2","Inhibitory neurons","Sample2",0.025,0.031
"Pdgfrb","Inhibitory neurons","Sample2",0.0122,0.0142
"Rgs5","Inhibitory neurons","Sample2",0.0028,0.0026
"Kcnj8","Inhibitory neurons","Sample2",0,0
"Anpep","Inhibitory neurons","Sample2",7e-04,0.0013
"Vtn","Inhibitory neurons","Sample2",6e-04,0.0013
"Notch3","Inhibitory neurons","Sample2",0.0271,0.0336
"Aqp4","Inhibitory neurons","Sample2",0.0054,0.0065
"Gja1","Inhibitory neurons","Sample2",0.0084,0.0103
"Cldn5","Microglia","Sample2",0,0
"Ocln","Microglia","Sample2",0.0209,0.0088
"Tjp1","Microglia","Sample2",1.0256,0.4425
"Jam2","Microglia","Sample2",0.1807,0.0885
"Cgn","Microglia","Sample2",0,0
"Esam","Microglia","Sample2",0,0
"Mfsd2a","Microglia","Sample2",0,0
"Plvap","Microglia","Sample2",0,0
"Cav1","Microglia","Sample2",0,0
"Slc2a1","Microglia","Sample2",0.0188,0.0088
"Abcb1a","Microglia","Sample2",0.0405,0.0177
"Abcg2","Microglia","Sample2",0.3812,0.1681
"Slco1a4","Microglia","Sample2",0.0669,0.0177
"Vcam1","Microglia","Sample2",0,0
"Icam1","Microglia","Sample2",0.1558,0.0708
"Vwf","Microglia","Sample2",0.0156,0.0088
"Angpt2","Microglia","Sample2",0.0347,0.0177
"Pdgfrb","Microglia","Sample2",0.018,0.0088
"Rgs5","Microglia","Sample2",0,0
"Kcnj8","Microglia","Sample2",0,0
"Anpep","Microglia","Sample2",0,0
"Vtn","Microglia","Sample2",0.0188,0.0088
"Notch3","Microglia","Sample2",0.0178,0.0088
"Aqp4","Microglia","Sample2",0,0
"Gja1","Microglia","Sample2",0,0
"Cldn5","Oligodendrocytes","Sample2",0,0
"Ocln","Oligodendrocytes","Sample2",0.0036,0.0025
"Tjp1","Oligodendrocytes","Sample2",1.2292,0.5637
"Jam2","Oligodendrocytes","Sample2",0.0377,0.0245
"Cgn","Oligodendrocytes","Sample2",0.0057,0.0049
"Esam","Oligodendrocytes","Sample2",0.0044,0.0025
"Mfsd2a","Oligodendrocytes","Sample2",0,0
"Plvap","Oligodendrocytes","Sample2",0,0
"Cav1","Oligodendrocytes","Sample2",0.0023,0.0025
"Slc2a1","Oligodendrocytes","Sample2",0.0638,0.0392
"Abcb1a","Oligodendrocytes","Sample2",0.0065,0.0025
"Abcg2","Oligodendrocytes","Sample2",0.0761,0.0441
"Slco1a4","Oligodendrocytes","Sample2",0.014,0.0074
"Vcam1","Oligodendrocytes","Sample2",0.0027,0.0025
"Icam1","Oligodendrocytes","Sample2",0.0041,0.0025
"Vwf","Oligodendrocytes","Sample2",0,0
"Angpt2","Oligodendrocytes","Sample2",0.0074,0.0074
"Pdgfrb","Oligodendrocytes","Sample2",0.0151,0.0123
"Rgs5","Oligodendrocytes","Sample2",0.0076,0.0049
"Kcnj8","Oligodendrocytes","Sample2",0,0
"Anpep","Oligodendrocytes","Sample2",0,0
"Vtn","Oligodendrocytes","Sample2",0.005,0.0025
"Notch3","Oligodendrocytes","Sample2",0.0162,0.0098
"Aqp4","Oligodendrocytes","Sample2",0.007,0.0049
"Gja1","Oligodendrocytes","Sample2",0.0305,0.0196
"Cldn5","OPC","Sample2",0,0
"Ocln","OPC","Sample2",0,0
"Tjp1","OPC","Sample2",1.2546,0.7069
"Jam2","OPC","Sample2",0.3842,0.2672
"Cgn","OPC","Sample2",0.0104,0.0086
"Esam","OPC","Sample2",0,0
"Mfsd2a","OPC","Sample2",0.1518,0.1034
"Plvap","OPC","Sample2",0.0141,0.0086
"Cav1","OPC","Sample2",0.1807,0.1379
"Slc2a1","OPC","Sample2",0.0364,0.0345
"Abcb1a","OPC","Sample2",0.0089,0.0086
"Abcg2","OPC","Sample2",0.2833,0.2069
"Slco1a4","OPC","Sample2",0.0225,0.0086
"Vcam1","OPC","Sample2",0,0
"Icam1","OPC","Sample2",0.0102,0.0086
"Vwf","OPC","Sample2",0.1034,0.0776
"Angpt2","OPC","Sample2",0.033,0.0259
"Pdgfrb","OPC","Sample2",0.0065,0.0086
"Rgs5","OPC","Sample2",0,0
"Kcnj8","OPC","Sample2",0,0
"Anpep","OPC","Sample2",0,0
"Vtn","OPC","Sample2",0,0
"Notch3","OPC","Sample2",0,0
