"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","celltype","direction"
"GO:0010633","negative regulation of epithelial cell migration","6/299","68/17758",0.000988186196062918,0.0267850468932844,0.0227383194883545,"Mef2c/Slit2/Pparg/Map2k5/Mcc/Ptprr",6,"Excitatory neurons","Up"
"GO:0022029","telencephalon cell migration","6/299","68/17758",0.000988186196062918,0.0267850468932844,0.0227383194883545,"Dab1/Dcx/Slit2/Nrg3/Sun1/Slit1",6,"Excitatory neurons","Up"
"GO:0001667","ameboidal-type cell migration","17/299","429/17758",0.00101751542998944,0.0271265567167976,0.0230282334655969,"Zeb2/Arsb/Mef2c/Slit2/Prkca/Pparg/Ccbe1/Sema6d/Plekhg5/Fbn2/Schip1/Enpp2/Map2k5/Fap/Bmper/Mcc/Ptprr",17,"Excitatory neurons","Up"
"GO:0048745","smooth muscle tissue development","4/299","27/17758",0.0010183432294979,0.0271265567167976,0.0230282334655969,"Itga8/Dlg1/Tshz3/Schip1",4,"Excitatory neurons","Up"
"GO:0035107","appendage morphogenesis","9/299","151/17758",0.0010572611209559,0.0276859056250317,0.0235030750528288,"Zbtb16/Ext1/Large1/Asph/Fmn1/Fbn2/Plxna2/Pcsk5/Nfia",9,"Excitatory neurons","Up"
"GO:0035108","limb morphogenesis","9/299","151/17758",0.0010572611209559,0.0276859056250317,0.0235030750528288,"Zbtb16/Ext1/Large1/Asph/Fmn1/Fbn2/Plxna2/Pcsk5/Nfia",9,"Excitatory neurons","Up"
"GO:0010469","regulation of signaling receptor activity","8/299","122/17758",0.00107899757019606,0.0280176679992087,0.0237847142408544,"Dlgap2/Tafa1/Mef2c/Grin2a/Dlgap1/Pparg/Cblb/Rasgrf2",8,"Excitatory neurons","Up"
"GO:0099173","postsynapse organization","12/299","249/17758",0.0010938460877891,0.0281665367605693,0.0239110916734248,"Kalrn/Cnksr2/Ppfia2/Ptprd/Nrcam/Grin2a/Asap1/Ntng2/Epha5/Dgkz/Itpka/Il1rap",12,"Excitatory neurons","Up"
"GO:0045664","regulation of neuron differentiation","11/299","216/17758",0.0011232094672394,0.028577620297011,0.0242600680566007,"Tcf4/Brinp1/Mef2c/Dab1/Bcl11a/Dmd/Rgs6/Nrep/Sox5/Trpc5/Trpc6",11,"Excitatory neurons","Up"
"GO:0014812","muscle cell migration","8/299","123/17758",0.00113755575939558,0.028577620297011,0.0242600680566007,"Mef2c/Slit2/Pparg/Sema6d/Prkg1/Pcsk5/Dock4/Plekho1",8,"Excitatory neurons","Up"
"GO:0035249","synaptic transmission, glutamatergic","8/299","123/17758",0.00113755575939558,0.028577620297011,0.0242600680566007,"Syt1/Mef2c/Grin2a/Ext1/Tshz3/Grm3/Grik4/Dgkz",8,"Excitatory neurons","Up"
"GO:0060402","calcium ion transport into cytosol","4/299","28/17758",0.00117246835070326,0.0286643069519343,0.0243336579540862,"Ryr2/Cacna2d1/Asph/Cacna1i",4,"Excitatory neurons","Up"
"GO:0001657","ureteric bud development","7/299","96/17758",0.00118738876694097,0.0286643069519343,0.0243336579540862,"Slit2/Dlg1/Tshz3/Fmn1/Fat4/Npnt/Bmper",7,"Excitatory neurons","Up"
"GO:0048814","regulation of dendrite morphogenesis","7/299","96/17758",0.00118738876694097,0.0286643069519343,0.0243336579540862,"Kalrn/Hecw2/Ptprd/Rapgef2/Trpc5/Itpka/Trpc6",7,"Excitatory neurons","Up"
"GO:0072163","mesonephric epithelium development","7/299","96/17758",0.00118738876694097,0.0286643069519343,0.0243336579540862,"Slit2/Dlg1/Tshz3/Fmn1/Fat4/Npnt/Bmper",7,"Excitatory neurons","Up"
"GO:0072164","mesonephric tubule development","7/299","96/17758",0.00118738876694097,0.0286643069519343,0.0243336579540862,"Slit2/Dlg1/Tshz3/Fmn1/Fat4/Npnt/Bmper",7,"Excitatory neurons","Up"
"GO:0021885","forebrain cell migration","6/299","71/17758",0.00123986423306059,0.0294706190781324,0.0250181511642671,"Dab1/Dcx/Slit2/Nrg3/Sun1/Slit1",6,"Excitatory neurons","Up"
"GO:0060042","retina morphogenesis in camera-type eye","6/299","71/17758",0.00123986423306059,0.0294706190781324,0.0250181511642671,"Miat/Fat3/Large1/Dscam/Hcn1/Nectin3",6,"Excitatory neurons","Up"
"GO:0060078","regulation of postsynaptic membrane potential","8/299","126/17758",0.00132859194107649,0.0313385427322622,0.0266038659474697,"Mef2c/Grin2a/Gabrg2/Rgs7/Npas4/Gabra1/Hcn1/Gabra5",8,"Excitatory neurons","Up"
"GO:0050654","chondroitin sulfate proteoglycan metabolic process","4/299","29/17758",0.00134221635221489,0.0314200646086667,0.0266730713693741,"Arsb/Ext1/Xylt1/Chsy3",4,"Excitatory neurons","Up"
"GO:0014910","regulation of smooth muscle cell migration","7/299","99/17758",0.00142111406080096,0.0327704660289178,0.0278194519993402,"Mef2c/Slit2/Pparg/Sema6d/Prkg1/Pcsk5/Dock4",7,"Excitatory neurons","Up"
"GO:0035418","protein localization to synapse","7/299","99/17758",0.00142111406080096,0.0327704660289178,0.0278194519993402,"Kalrn/Grin2a/Dlgap1/Asic2/Dlg1/Gpc4/Lgi1",7,"Excitatory neurons","Up"
"GO:0031346","positive regulation of cell projection organization","17/299","443/17758",0.00143800017442018,0.0329142262145064,0.027941492667876,"Kalrn/Zeb2/Gpm6a/Ptprd/Arsb/Dcx/Plxna4/Bcl11a/Dscam/Dmd/Rapgef2/Plxna2/Serpini1/Enpp2/Trpc5/Cyfip1/Itpka",17,"Excitatory neurons","Up"
"GO:0046058","cAMP metabolic process","3/299","14/17758",0.00149889651942855,0.0338072280659432,0.0286995783819896,"Adcy2/Adcy1/Adcy8",3,"Excitatory neurons","Up"
