"gene","cluster","mean_logexpr"
"Slc1a2","g0",0.702253231165319
"Slc1a2","g1",3.69343976141832
"Slc1a2","g2",0.449834050135305
"Slc1a2","g3",0.600407397491645
"Slc1a2","g4",2.88863232802177
"Slc1a2","g5",0.965446574879611
"Slc1a2","g6",47.5939675676183
"Slc1a2","g7",1.4826249857163
"Slc1a2","g8",9.17120994160584
"Slc1a2","g9",0.631984398297318
"Slc1a2","g10",0.311622282486176
"Slc1a2","g11",3.99646381545834
"Slc1a2","g12",1.06490607209954
"Slc1a2","g13",1.6211970596176
"Slc1a2","g14",0.455401832390083
"Slc1a2","g15",0.494449977151877
"Slc1a2","g16",1.12285987990058
"P2ry12","g0",0.0869663119163254
"P2ry12","g1",0.0449173095777577
"P2ry12","g2",0.0829573147046038
"P2ry12","g3",0.0265646530093821
"P2ry12","g4",0.0469775635366096
"P2ry12","g5",0.0674848353120254
"P2ry12","g6",0.142112933307904
"P2ry12","g7",0.0463535998604398
"P2ry12","g8",0.0203860328098946
"P2ry12","g9",0.09478313618441
"P2ry12","g10",5.754520304281
"P2ry12","g11",0.212906659956839
"P2ry12","g12",0
"P2ry12","g13",0
"P2ry12","g14",0
"P2ry12","g15",0.0643997939206594
"P2ry12","g16",0.0163493262442655
"Jun","g0",0.044613084289871
"Jun","g1",0.0382903160143991
"Jun","g2",0.0125659476147214
"Jun","g3",0.170688921372922
"Jun","g4",0.0149669421047208
"Jun","g5",0.0156161897884156
"Jun","g6",0.0740642317397546
"Jun","g7",0.169429876331035
"Jun","g8",0.031731197469398
"Jun","g9",0.0323850976734546
"Jun","g10",0.0657894736842105
"Jun","g11",0.153751425154064
"Jun","g12",0.968399486503577
"Jun","g13",0.130104896517762
"Jun","g14",0
"Jun","g15",0
"Jun","g16",0
"Isg15","g0",0.00230847098891271
"Isg15","g1",0.00335586848810258
"Isg15","g2",0.00131714925698293
"Isg15","g3",0
"Isg15","g4",0
"Isg15","g5",0.00788208402301569
"Isg15","g6",0
"Isg15","g7",0
"Isg15","g8",0
"Isg15","g9",0.0484195847536412
"Isg15","g10",0
"Isg15","g11",0
"Isg15","g12",0.110246290212334
"Isg15","g13",0
"Isg15","g14",0
"Isg15","g15",0
"Isg15","g16",0
"Tmem119","g0",0.00193133121683792
"Tmem119","g1",0
"Tmem119","g2",0.00245174418008195
"Tmem119","g3",0.000968766953421685
"Tmem119","g4",0
"Tmem119","g5",0.00446169633694731
"Tmem119","g6",0
"Tmem119","g7",0
"Tmem119","g8",0
"Tmem119","g9",0.124007936507937
"Tmem119","g10",0.791672720740802
"Tmem119","g11",0
"Tmem119","g12",0
"Tmem119","g13",0
"Tmem119","g14",0
"Tmem119","g15",0
"Tmem119","g16",0
"Aldh1l1","g0",0.0211447882946742
"Aldh1l1","g1",0.0407174410795639
"Aldh1l1","g2",0.00387166053928673
"Aldh1l1","g3",0.303130082722114
"Aldh1l1","g4",0.0105905436123328
"Aldh1l1","g5",0.0110638335193503
"Aldh1l1","g6",1.3673912827014
"Aldh1l1","g7",0.0146163093542392
"Aldh1l1","g8",0.0123021616878139
"Aldh1l1","g9",0.0456470931931055
"Aldh1l1","g10",0
"Aldh1l1","g11",0.0997655133955654
"Aldh1l1","g12",0.0575491541713066
"Aldh1l1","g13",0
"Aldh1l1","g14",0.283908600904733
"Aldh1l1","g15",0
"Aldh1l1","g16",0.648269554505626
"Apoe","g0",0.0642320433324856
"Apoe","g1",0.0458593814849429
"Apoe","g2",0.0658134128513109
"Apoe","g3",0.385954502656779
"Apoe","g4",0.0450090055238948
"Apoe","g5",0.0560909915007754
"Apoe","g6",2.25119904587509
"Apoe","g7",0.0769287082339835
"Apoe","g8",0.0276508254529982
"Apoe","g9",0.370597918298923
"Apoe","g10",1.7008590051985
"Apoe","g11",0.60349317241477
"Apoe","g12",0.382701238389324
"Apoe","g13",0.166072345332406
"Apoe","g14",0.61599111626255
"Apoe","g15",0.0566123373563013
"Apoe","g16",0.336908381236171
"Tgfb1","g0",0.00178905827637028
"Tgfb1","g1",0.00221706385365605
"Tgfb1","g2",0.000961282982099757
"Tgfb1","g3",0
"Tgfb1","g4",0.00197071517253611
"Tgfb1","g5",0.00142608596446194
"Tgfb1","g6",0
"Tgfb1","g7",0
"Tgfb1","g8",0
"Tgfb1","g9",0.0488701227617484
"Tgfb1","g10",1.10698102370618
"Tgfb1","g11",0
"Tgfb1","g12",0
"Tgfb1","g13",0
"Tgfb1","g14",0
"Tgfb1","g15",0
"Tgfb1","g16",0
"Tyrobp","g0",0
"Tyrobp","g1",0.0021045163427388
"Tyrobp","g2",0.00204299691303166
