"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Rnf19b3",0.000204539356791282,0.408819433828922,0.025,0.112,1,"10","Rnf19b"
"Eef1g1",0.000205821963138759,0.657634802475619,0.081,0.206,1,"10","Eef1g"
"Chchd72",0.000206049806105008,0.703061847770217,0.046,0.147,1,"10","Chchd7"
"Ncor23",0.000206718146454319,0.818395050580955,0.203,0.419,1,"10","Ncor2"
"Zfp1011",0.000206742965672602,0.330681067579122,0.051,0.155,1,"10","Zfp101"
"Rnf1232",0.000207257878033788,0.131411108710622,0.03,0.121,1,"10","Rnf123"
"Eva1c2",0.000207738594397076,3.06477575245598,0.086,0.037,1,"10","Eva1c"
"Rnft13",0.000207738779528014,0.911657868447429,0.056,0.164,1,"10","Rnft1"
"Cep1281",0.000208386060842246,0.264500869187406,0.076,0.196,1,"10","Cep128"
"Med261",0.000209629907346537,0.908651578324007,0.076,0.197,1,"10","Med26"
"Arglu12",0.000209630841763317,0.433807653381684,0.376,0.765,1,"10","Arglu1"
"Rpap12",0.000210091798008892,0.328939990985472,0.02,0.103,1,"10","Rpap1"
"Hmbox12",0.000210624671919157,0.915930808303771,0.294,0.594,1,"10","Hmbox1"
"Ccnt13",0.00021141883937053,0.65292675202901,0.137,0.299,1,"10","Ccnt1"
"Rnf2191",0.00021583115806784,0.282883997307527,0.01,0.085,1,"10","Rnf219"
"Fkbp81",0.000216799601423177,0.598513604136817,0.036,0.13,1,"10","Fkbp8"
"Epb41l53",0.000217315871813465,0.179677866513741,0.061,0.171,1,"10","Epb41l5"
"Clcn72",0.000219605829128192,0.610032201382431,0.036,0.13,1,"10","Clcn7"
"Ermard",0.000219815464567438,0.426930833539134,0.041,0.138,1,"10","Ermard"
"Ercc42",0.000220025250136555,0.962233340870102,0.066,0.18,1,"10","Ercc4"
"Rab211",0.000220058836616869,0.762539969507622,0.142,0.304,1,"10","Rab21"
